#OTU ID	F3D0	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D1	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9	Mock
Otu197	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu172	0	0	0	2	1	2	0	3	0	0	0	0	1	0	0	2	2	1	1	0
Otu166	0	0	0	2	1	3	0	2	2	1	0	0	0	0	0	0	0	0	0	0
Otu56	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	213
Otu180	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	2	0	3	2	0
Otu184	0	0	0	0	1	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0
Otu190	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0
Otu66	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238
Otu203	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0
Otu31	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	381
Otu210	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0
Otu198	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0
Otu189	0	0	0	0	0	0	0	2	0	3	3	1	2	0	0	0	0	0	0	0
Otu191	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	2	0	0
Otu209	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Otu219	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
Otu208	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
Otu211	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0
Otu199	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0
Otu196	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	1	0	0
Otu167	0	0	0	0	0	0	0	0	0	0	0	2	3	2	1	0	1	1	0	0
Otu175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0
Otu100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75
Otu67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176
Otu37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319
Otu151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
Otu115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
