#OTU ID	F3D0	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D1	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9	Mock
Zotu251	3	17	5	9	16	16	15	51	46	28	10	1	12	1	1	0	0	0	0	0
Zotu219	5	0	0	0	0	2	0	0	1	0	0	6	3	6	0	3	1	2	1	0
Zotu119	4	0	0	0	0	0	0	0	3	0	0	8	29	2	0	21	8	26	18	0
Zotu159	5	1	1	1	2	0	1	7	5	5	2	3	8	0	1	4	0	3	8	0
Zotu149	5	0	1	0	2	0	8	7	6	8	6	1	4	0	2	8	0	3	4	0
Zotu221	3	1	0	0	0	0	4	0	0	5	1	1	3	0	2	9	0	0	1	0
Zotu206	2	0	0	0	0	0	1	1	1	2	2	1	2	0	2	4	1	7	11	0
Zotu93	5	11	2	6	0	2	9	36	6	19	11	15	12	3	8	9	3	11	12	0
Zotu270	1	1	2	0	0	0	1	3	2	0	0	0	0	1	0	0	1	2	2	0
Zotu275	1	1	3	0	0	0	0	3	0	0	0	0	2	0	0	0	0	1	1	0
Zotu248	1	0	0	0	0	1	5	1	2	1	0	2	2	1	3	1	0	2	3	0
Zotu53	3	5	7	7	9	18	5	32	13	9	8	10	50	39	6	22	25	20	24	0
Zotu76	3	6	4	2	1	9	19	16	5	13	11	15	35	3	11	16	5	13	22	0
Zotu257	2	2	1	0	0	1	1	1	1	4	0	1	2	1	0	0	0	0	0	0
Zotu176	4	0	0	0	1	0	2	7	0	7	5	4	5	1	1	2	1	0	3	0
Zotu192	1	0	1	0	0	1	1	1	1	2	3	2	7	0	3	4	1	2	6	0
Zotu43	2	54	12	36	30	40	87	34	11	2	0	3	2	3	4	13	1	24	34	0
Zotu193	3	0	0	0	0	0	2	3	1	5	3	5	0	0	1	7	0	2	7	0
Zotu256	1	0	0	0	0	0	0	2	1	0	0	1	4	1	0	1	3	3	4	0
Zotu108	1	2	1	2	3	2	3	9	9	5	0	21	2	3	14	10	11	10	5	0
Zotu137	1	0	1	0	1	0	1	5	3	1	1	28	31	6	1	1	0	2	5	0
Zotu168	3	0	1	2	0	3	3	4	3	6	2	9	10	1	3	3	1	4	5	0
Zotu97	7	19	3	6	6	3	14	27	13	6	8	3	24	2	2	7	2	4	3	0
Zotu148	1	0	0	1	0	3	0	2	1	2	2	0	5	5	3	18	15	10	11	0
